"date","sport","family","small","ice","guid"
"2023-11-17 00:00:00","0","0","0","0","91b07731-d244-4819-9f1d-09b35c148dd7"
"2023-09-21 13:15:00","53","44","24","0","91b37cff-4c36-4b45-8616-35c149888e90"
"2023-07-20 19:00:00","0","139","0","0","91b79691-bd14-44e2-87b2-62c3248cd9d7"
"2023-12-04 05:15:00","0","0","0","0","91b91ad8-9d2f-4ab5-96fb-69c2d92259ea"
"2023-07-20 15:45:00","0","125","0","0","91ba82f1-8ec8-4091-a376-0ffcc8694c2d"
"2023-08-27 13:15:00","0","134","0","0","91bbd59d-a68e-416f-ac41-5c355ffcbafa"
"2023-05-07 08:00:00","60","69","20","0","91bc3cfd-6096-4b3e-b763-e2f74bb4f2a8"
"2023-09-23 09:45:00","48","145","22","0","91bdab80-1857-4cbf-9574-d834cb9e414c"
"2023-10-17 22:30:00","0","0","0","0","91be6a50-68ae-4cfb-b656-355cb4611c1d"
"2023-11-07 21:30:00","49","21","12","0","91c17b99-6d77-467e-b4e9-40da6b8d2ad0"
"2023-04-22 07:15:00","39","56","14","0","91cd1643-be45-4b14-a263-f2b0571d9498"
"2023-10-04 10:30:00","44","80","16","0","91cddeec-8ff3-42e8-aff4-dbb7ec115b6c"
"2023-03-13 15:30:00","61","111","25","0","91d4b5b9-3ddd-40a1-8576-5b3b821d2912"
"2023-10-08 21:00:00","63","69","8","0","91d735e6-5fd4-4cf9-ac04-496d5c0a886b"
"2023-11-08 07:00:00","48","53","14","0","91d81521-22f2-4f52-92ca-bcfb910d14db"
"2023-07-07 12:30:00","0","106","0","0","91d8db86-329f-4f7d-986d-713cc5cedcc5"
"2023-12-16 11:15:00","60","128","11","55","91e15df8-74eb-4eb5-af63-b1f46b5ff7da"
"2023-04-01 09:30:00","63","142","20","0","91f8fa86-4548-41c0-a57b-80b682b2a8a5"
"2023-10-30 00:45:00","0","0","0","0","91fd3fb7-7d25-4a82-a9e4-e435e5575057"
"2023-08-01 19:15:00","0","154","0","0","91ffaa24-e5cd-4b63-a50d-96debec09230"
"2023-10-04 22:00:00","0","0","0","0","9202d818-c988-401a-8248-2482dcadb411"
"2023-10-04 15:30:00","85","137","37","0","9202e751-5a46-4e80-bcd1-70deb52c7d93"
"2023-03-19 11:30:00","83","149","33","50","92082a2f-77cb-43e9-b092-d733f2a432cf"
"2023-11-29 20:45:00","112","91","23","0","92096f76-7d5c-4d98-9043-1dabef86c91b"
"2023-09-13 08:45:00","39","61","20","0","920e41ab-0510-45b5-8b05-ff3ac14220ad"
"2023-09-25 03:45:00","0","0","0","0","9213b5a9-c518-4d29-b44a-d039b5c7ddf9"
"2023-10-14 18:15:00","81","125","18","284","92145032-ac2b-402b-b2dc-2b43eaf00417"
"2023-11-16 11:45:00","52","65","22","0","9214f77a-cfa7-46f1-a6c4-ecdbb93f4af6"
