"date";"sport";"family";"small";"ice";"guid"
"2024-08-05 11:45:00";"0";"151";"0";"0";"85e04bda-cbee-4846-98d8-96bbd6ac2bc3"
"2024-04-26 17:00:00";"87";"137";"37";"0";"85e16b73-049e-4dca-bf4f-fd0f2cda9ef1"
"2024-01-18 11:15:00";"55";"74";"26";"0";"85e18107-ccf9-429e-a3ed-18827aa5a316"
"2024-07-10 16:30:00";"0";"142";"0";"0";"85e234c1-cf94-4a4e-adb0-bf1efa1ee01d"
"2024-02-14 19:15:00";"116";"131";"17";"119";"85e3144c-a9d4-4d12-96de-94f886f162e6"
"2024-07-05 13:45:00";"0";"67";"0";"0";"85e6b2ed-dae0-42d6-96c8-d0b5339a6ef3"
"2024-07-17 16:30:00";"0";"126";"0";"0";"85e7f2a3-c993-4ad0-9cd4-661589282153"
"2024-01-01 13:15:00";"0";"0";"0";"132";"85eb573d-db1e-4fb7-9211-c20cec21bde0"
"2024-06-18 10:00:00";"34";"47";"17";"0";"85ef1004-646a-45f2-9554-5041688d2315"
"2024-06-03 02:45:00";"0";"0";"0";"0";"85f0ab51-aae5-4d93-bf57-83d8cc30fb80"
"2023-12-17 02:00:00";"0";"0";"0";"0";"85f1308e-80f1-4e3f-9100-c6a00ee23ea1"
"2024-02-04 17:00:00";"121";"147";"24";"60";"85f2376c-ac85-49cf-86c9-7178428f0aeb"
"2023-07-08 15:00:00";"0";"81";"0";"0";"85f35a6f-9fc9-414f-9f5e-a1e809796563"
"2023-07-18 11:00:00";"0";"147";"0";"0";"85f7ebd6-fbf8-425f-9d60-0df5e09d572a"
"2024-02-07 04:30:00";"0";"0";"0";"0";"85fb4f82-f7d0-47bd-8cd7-cd9848c3b350"
"2024-05-13 20:15:00";"84";"99";"31";"0";"85fdf9f1-8213-4697-a961-94a7baa8076f"
"2024-01-16 05:15:00";"0";"0";"0";"0";"85fef1fe-43c3-4eca-bcda-0f183b4595a0"
"2024-01-11 11:45:00";"44";"63";"18";"0";"86018429-fb6f-41fb-846b-4bf35228132a"
"2024-08-20 21:15:00";"0";"75";"0";"0";"8601dd27-bd44-4de5-9c2f-e6c09336465b"
"2024-07-14 15:45:00";"0";"142";"0";"0";"8603b14f-5b77-44c3-9887-83f6ed5ae631"
"2024-03-09 04:15:00";"0";"0";"0";"0";"86046af0-c0a5-4c94-86f8-ec2c84250df6"
"2024-04-10 11:45:00";"30";"88";"43";"0";"860a04b1-1e2e-41e0-9ed0-2b316435c169"
"2023-09-28 07:15:00";"29";"36";"5";"0";"860c6f74-4a8a-4962-9885-8acf825e1839"
"2024-08-18 18:45:00";"0";"152";"0";"97";"860dbe10-5329-4e8b-9c82-f89906ddafcd"
"2023-10-02 00:00:00";"0";"0";"0";"0";"860ea829-e9c7-4672-83e9-4903d06f36d0"
"2024-02-28 18:45:00";"112";"151";"26";"26";"861055c1-7ac6-4593-a22b-0f69a22102f2"
"2023-12-01 00:30:00";"0";"0";"0";"0";"86116393-b41c-4c6e-a9ec-84ece03ba744"
"2023-08-26 08:15:00";"0";"59";"0";"0";"861268fe-6b0d-4830-ac37-8f8cc0278552"
"2024-08-16 08:00:00";"0";"66";"0";"0";"861286fd-8da9-466c-b647-dbe68cd19d6a"
"2023-11-05 12:30:00";"123";"144";"22";"104";"861588d7-8067-4ab7-a807-4059ec2e8649"
"2023-04-07 08:30:00";"43";"49";"17";"0";"8618d486-df84-4c91-8677-7026deb957cc"
"2023-12-08 20:45:00";"106";"84";"13";"0";"86190046-cba0-4a00-a2e2-d3cef7466d87"
"2024-04-15 10:30:00";"72";"44";"17";"0";"86197ca1-f283-4144-b3f9-fa8e80686cc0"
"2023-07-25 19:15:00";"0";"137";"0";"0";"8619d900-d44d-40af-8840-5544cb67c632"
"2024-02-10 01:00:00";"0";"0";"0";"0";"861ad8c3-b561-4cf4-9ccd-f3ee66296758"
"2023-10-15 05:30:00";"0";"0";"0";"0";"861d32dd-6e2f-415d-80d4-b491b01fa167"
"2023-08-17 06:15:00";"0";"23";"0";"0";"861f45b2-d79f-4266-849e-995c30abe73b"
"2024-01-03 21:30:00";"42";"41";"5";"0";"86218ba1-284a-4d54-a361-5520e40c14c6"
"2024-08-22 09:30:00";"0";"62";"0";"0";"8621ae6d-6ff2-450f-95b1-f52f9c7a3e9d"
"2024-03-10 06:15:00";"8";"22";"5";"0";"8621d455-6493-4fde-89b9-aeec52d666a7"
"2023-03-12 16:30:00";"102";"134";"25";"60";"86239523-52b3-4b42-af27-555d3e14d1cf"
"2024-05-31 23:30:00";"0";"0";"0";"0";"86242338-29e1-4908-80c4-6ce434aa47c3"
"2024-08-09 10:30:00";"0";"114";"0";"0";"862470d3-31b7-4452-b707-06b85f0e212f"
"2024-01-16 20:45:00";"129";"88";"27";"0";"8627e876-0777-4f01-9352-4d1f889abe6f"
"2024-02-05 06:45:00";"19";"35";"9";"0";"862b5b12-a309-4e1e-af1f-6444163c2bde"
"2023-12-05 09:15:00";"55";"47";"27";"0";"862bc05f-630a-4a80-b86f-0cb12e668739"
"2023-07-14 18:45:00";"0";"105";"0";"0";"862beb0d-b488-48e2-9e02-6685b93beb72"
"2023-12-02 10:30:00";"66";"109";"7";"0";"862d8aac-d8f2-48cc-ae23-4bc71daa2324"
"2023-05-07 16:00:00";"54";"115";"23";"0";"862e5108-0c81-404e-b094-7e0fff9f3308"
"2023-07-09 19:45:00";"0";"103";"0";"0";"862f21ef-f0c1-42d7-bc28-4aaf743d4dad"
"2024-07-01 08:45:00";"0";"43";"0";"0";"862f374e-6f0b-41c4-951f-6facd500515b"
"2024-08-18 13:45:00";"0";"145";"0";"0";"8632ad9e-a3e0-4fc5-b296-05e7b6ed60ad"
"2024-08-20 19:00:00";"0";"153";"0";"0";"863468c2-2487-4979-94e3-2391c2791930"
"2024-06-14 13:00:00";"44";"35";"12";"0";"863677fa-dbab-456f-813b-5f6b160b5d5f"
"2024-05-15 21:15:00";"66";"54";"15";"0";"863a1517-1bcb-4585-bea8-2ece591dbe97"
"2023-04-11 08:15:00";"25";"25";"18";"0";"863c1b7c-01fc-4116-9673-60c922d8bcd2"
"2024-07-28 15:15:00";"0";"148";"0";"0";"863dd674-c213-44a3-ada7-e82efa8fde62"
"2024-03-16 06:15:00";"11";"25";"6";"0";"863f7d59-7396-475e-a821-e31e3cc1cf0a"
"2024-07-25 03:45:00";"0";"0";"0";"0";"8641f619-a7e1-4047-9a33-e5d1b7cd4473"
"2023-12-13 15:00:00";"70";"88";"20";"0";"8642287b-1c20-42a3-be4b-28fc8546f214"
"2024-06-04 10:00:00";"31";"47";"16";"0";"8646aae6-af41-45b1-82e2-5690b18c6800"
"2023-10-17 06:15:00";"26";"25";"5";"0";"864c93ea-043e-4aeb-9c0b-f4e3e59d9a2b"
"2023-04-04 11:00:00";"29";"57";"18";"0";"864d62ea-f338-4694-b861-9d0dbc470b40"
"2024-04-03 16:00:00";"76";"133";"17";"0";"864f5d8e-2b06-42e2-a061-0807b0783b32"
"2023-10-01 13:00:00";"79";"155";"15";"0";"864f6113-e416-4d1d-a77d-6d3e43968f66"
"2023-11-20 05:15:00";"0";"0";"0";"0";"864f6c2c-fe1c-44a5-9361-f769dd50fa9b"
"2023-10-20 23:00:00";"0";"0";"0";"2";"864f906e-88a2-44e9-862e-8ed04eaafe50"
"2023-11-19 17:30:00";"109";"140";"25";"267";"8651f439-27e0-45d9-a15a-4e68cd43e253"
"2024-03-03 21:15:00";"61";"63";"7";"0";"8654048d-4474-4398-8de5-b40aee5451cd"
"2023-12-27 03:15:00";"0";"0";"0";"0";"8654312e-0b6b-4910-95c8-f8810f7b4ecd"
"2024-03-02 16:30:00";"69";"101";"20";"16";"8655baca-6dad-47b4-8dd7-5d88d0d80ebf"
"2023-12-28 19:00:00";"109";"147";"0";"157";"865721e0-dc36-4c79-885c-07000a0f3bc2"
"2024-03-06 20:15:00";"121";"118";"36";"32";"8658c563-5b8d-48bb-a697-d8f08552eb69"
"2024-05-23 17:15:00";"87";"145";"15";"0";"865a6351-7cdc-453a-95c9-932fc5f31d93"
"2024-06-14 10:15:00";"78";"53";"19";"0";"865c8535-4672-4d24-a350-cc5f76366404"
"2023-09-24 08:00:00";"52";"88";"27";"0";"865ccb39-bc33-4451-ba9e-0cc23a80ab46"
"2024-04-08 09:00:00";"56";"53";"19";"0";"86600f6f-3272-43fe-9797-bb8369aa07b1"
"2024-07-01 11:15:00";"0";"99";"0";"0";"8661cafd-1361-4fba-9a4a-7b894749f4bf"
"2024-03-21 22:15:00";"0";"0";"0";"0";"8662ecc2-27bd-48f3-b87e-0e5c00bfa70c"
"2024-03-05 05:00:00";"0";"0";"0";"0";"8663ad15-7b06-4acd-8511-d4542057e11c"
"2024-07-29 23:45:00";"0";"0";"0";"0";"8664c86d-648b-4192-aec7-2a36d7cbe520"
"2023-08-08 10:15:00";"0";"139";"0";"0";"86675155-7bcc-4b4e-8da0-5d8f73b784d3"
"2024-01-19 13:00:00";"77";"52";"12";"0";"8669325b-eedf-46c3-b00b-a5e6d95f425f"
"2023-04-13 21:45:00";"2";"0";"6";"0";"866992fd-0f7d-4fc9-b8a6-9f4f566d53e1"
"2023-05-03 08:30:00";"0";"43";"0";"0";"866a0a60-0ebc-4ae4-bd18-75d75dd04845"
